bucket,scenario_count,ccrms_win_rate,ccrms_mean_revenue,centralised_mean_revenue
tiny (<100),1247899,0,1050.6997289329297,8939.163818628786
small (100-500),2396089,0.0003785335185796521,2602.413957859854,10048.423299957813
medium (500-2k),2710464,0.06587691258766026,8365.041530287002,14086.245820302189
large (2k-10k),2397739,0.5756639901173564,33208.71993773746,31506.64580493515
huge (10k-100k),1141040,0.990030147935217,193456.1541905821,143884.3347538373
mega (100k+),106769,0.9985295357266623,1872628.3615685538,1320891.422002446
